Tokens,Tags,Predicted Tags
=,B-O,B-O
manual,B-LF,B-LF
ability,I-LF,I-LF
classification,I-LF,I-LF
system,I-LF,I-LF
;,B-O,B-O
quest,B-AC,B-AC
=,B-O,B-O
quest,B-LF,B-AC
-,I-LF,B-O
quality,I-LF,I-LF
of,I-LF,B-O
upper,I-LF,I-LF
ex,I-LF,I-LF
##tre,I-LF,B-O
##mity,I-LF,I-LF
skills,I-LF,I-LF
test,I-LF,I-LF
;,B-O,B-O
con,B-O,B-AC
##t,B-O,B-O
=,B-O,B-O
control,B-O,B-O
;,B-O,B-O
m,B-O,B-O
=,B-O,B-O
male,B-O,B-O
",",B-O,B-O
f,B-O,B-O
=,B-O,B-O
female,B-O,B-O
",",B-O,B-O
v,B-O,B-O
=,B-O,B-O
verbal,B-O,B-O
",",B-O,B-O
non,B-O,B-AC
##v,B-O,B-O
=,B-O,B-O
non,B-O,B-O
-,B-O,B-O
verbal,B-O,B-O
",",B-O,B-O
|,B-O,B-O
quad,B-O,B-AC
=,B-O,B-O
quad,B-O,B-O
##rip,B-O,B-O
##leg,B-O,B-O
##ia,B-O,B-O
",",B-O,B-O
di,B-O,B-AC
=,B-O,B-O
dip,B-O,B-O
##leg,B-O,B-O
##ia,B-O,B-O
",",B-O,B-O
hem,B-O,B-AC
##i,B-O,B-O
=,B-O,B-O
hem,B-O,B-O
##ip,B-O,B-O
##leg,B-O,B-O
##ia,B-O,B-O
.,B-O,B-O
